game_id,date,time,home_team,away_team,odds_data_quality,odds_over_under,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_total_odds,snapshot_ts
401803179,2026-01-26,19:00,CBJ,LAK,real,6.5,-118.0,-102.0,-118.0,215.0,110.0,2026-04-22T07:52:57.386540+00:00
401803598,2026-04-09,18:00,BUF,CBJ,real,6.5,-125.0,105.0,-125.0,200.0,105.0,2026-04-09T00:35:37.563254-06:00
401803599,2026-04-09,18:00,MTL,TBL,real,6.5,-105.0,-115.0,-115.0,-250.0,100.0,2026-04-09T00:35:37.563254-06:00
401803600,2026-04-09,18:00,OTT,FLA,real,6.5,-285.0,230.0,-285.0,-105.0,-102.0,2026-04-09T00:35:37.563254-06:00
401803601,2026-04-09,18:00,DET,PHI,real,6.5,-125.0,105.0,-125.0,195.0,110.0,2026-04-09T00:35:37.563254-06:00
401803602,2026-04-09,18:00,NJD,PIT,real,6.5,-108.0,-112.0,-112.0,-278.0,-110.0,2026-04-09T00:35:37.563254-06:00
401803603,2026-04-09,17:45,NYI,TOR,real,6.5,-258.0,210.0,-258.0,105.0,100.0,2026-04-09T00:35:37.563254-06:00
401803604,2026-04-09,19:00,STL,WPG,real,5.5,-115.0,-105.0,-115.0,225.0,-112.0,2026-04-09T00:35:37.563254-06:00
401803605,2026-04-09,20:00,DAL,MIN,real,6.5,-125.0,105.0,-125.0,205.0,114.0,2026-04-09T00:35:37.563254-06:00
401803606,2026-04-09,19:30,CHI,CAR,real,6.5,190.0,-230.0,-230.0,-135.0,105.0,2026-04-09T00:35:37.563254-06:00
401803607,2026-04-09,20:00,COL,CGY,real,6.5,-340.0,270.0,-340.0,-120.0,105.0,2026-04-09T00:35:37.563254-06:00
401803608,2026-04-09,20:00,UTA,NSH,real,6.5,-162.0,136.0,-162.0,154.0,110.0,2026-04-09T00:35:37.563254-06:00
401803609,2026-04-09,21:00,ANA,SJS,real,6.5,-175.0,145.0,-175.0,142.0,-120.0,2026-04-09T00:35:37.563254-06:00
401803610,2026-04-09,21:00,SEA,VGK,real,6.5,160.0,-192.0,-192.0,-166.0,114.0,2026-04-09T00:35:37.563254-06:00
401803611,2026-04-09,21:30,LAK,VAN,real,6.5,-278.0,225.0,-278.0,-105.0,114.0,2026-04-09T00:35:37.563254-06:00
401803612,2026-04-11,11:30,BOS,TBL,real,6.5,105.0,-125.0,-125.0,-245.0,114.0,2026-04-10T17:19:56.153863-06:00
401803613,2026-04-11,12:00,NYI,OTT,real,5.5,100.0,-120.0,-120.0,-250.0,-135.0,2026-04-10T17:19:56.153863-06:00
401803614,2026-04-11,14:00,PIT,WSH,real,6.5,-130.0,110.0,-130.0,190.0,-105.0,2026-04-10T17:19:56.153863-06:00
401803615,2026-04-11,15:00,LAK,EDM,real,6.5,-115.0,-105.0,-115.0,210.0,100.0,2026-04-10T17:19:56.153863-06:00
401803616,2026-04-11,16:00,DET,NJD,real,6.5,-142.0,120.0,-142.0,180.0,102.0,2026-04-10T17:19:56.153863-06:00
401803617,2026-04-11,16:00,CHI,STL,real,5.5,110.0,-130.0,-130.0,-230.0,-135.0,2026-04-10T17:19:56.153863-06:00
401803618,2026-04-11,16:00,NSH,MIN,real,6.5,110.0,-130.0,-130.0,-230.0,110.0,2026-04-10T17:19:56.153863-06:00
401803619,2026-04-11,16:00,DAL,NYR,real,5.5,-198.0,164.0,-198.0,140.0,-125.0,2026-04-10T17:19:56.153863-06:00
401803620,2026-04-11,16:00,UTA,CAR,real,6.5,-115.0,-105.0,-115.0,220.0,100.0,2026-04-10T17:19:56.153863-06:00
401803621,2026-04-11,18:00,TOR,FLA,real,6.5,-130.0,110.0,-130.0,195.0,-120.0,2026-04-10T17:19:56.153863-06:00
401803622,2026-04-11,18:00,MTL,CBJ,real,6.5,-142.0,120.0,-142.0,180.0,110.0,2026-04-10T17:19:56.153863-06:00
401803623,2026-04-11,18:00,WPG,PHI,real,5.5,-130.0,110.0,-130.0,190.0,-115.0,2026-04-10T17:19:56.153863-06:00
401803624,2026-04-11,18:00,SEA,CGY,real,6.5,-155.0,130.0,-155.0,180.0,114.0,2026-04-10T17:19:56.153863-06:00
401803625,2026-04-11,19:00,COL,VGK,real,6.5,-135.0,114.0,-135.0,185.0,114.0,2026-04-10T17:19:56.153863-06:00
401803626,2026-04-11,21:00,SJS,VAN,real,6.5,-218.0,180.0,-218.0,114.0,-115.0,2026-04-10T17:19:56.153863-06:00
401803627,2026-04-12,14:00,WSH,PIT,real,6.5,-148.0,124.0,-148.0,154.0,-142.0,2026-04-12T23:15:15.854603-06:00
401803628,2026-04-12,17:00,NYI,MTL,real,6.5,-125.0,105.0,-125.0,195.0,105.0,2026-04-12T23:15:15.854603-06:00
401803629,2026-04-12,17:00,CBJ,BOS,real,6.5,-205.0,170.0,-205.0,130.0,-105.0,2026-04-12T23:15:15.854603-06:00
401803630,2026-04-12,18:00,NJD,OTT,real,6.5,-125.0,105.0,-125.0,205.0,105.0,2026-04-12T23:15:15.854603-06:00
401803631,2026-04-12,19:00,ANA,VAN,real,7.5,-325.0,260.0,-325.0,-130.0,140.0,2026-04-12T23:15:15.854603-06:00
401803632,2026-04-12,20:00,CGY,UTA,real,6.5,136.0,-162.0,-162.0,-185.0,110.0,2026-04-12T23:15:15.854603-06:00
401803633,2026-04-13,18:00,TBL,DET,real,6.5,-205.0,170.0,-205.0,120.0,105.0,2026-04-12T23:15:15.854603-06:00
401803634,2026-04-13,18:00,FLA,NYR,real,6.5,-105.0,-115.0,-115.0,225.0,114.0,2026-04-12T23:15:15.854603-06:00
